ObjectID,GlobalID,No Data Values - Enter 9999,Section,Reach,Length (m),Width (m),Depth (m),Temperature (Celsius),Dissolved Oxygen (%),Dissolved Oxygen (mg/L),pH,Conductivity,The size classes are as follows 1: 1000,Roach Juvenile,Roach Adult,Sucker Juvenile,Sucker Sub-Adult,Sucker Adult,Sculpin Juvenile,Sculpin Adult,Pikeminnow Juvenile,Pikeminnor Sub-Adult,Pikeminnow Adult,Unknown Cyprinid Juvenile,Unknown Cyprinid Adult,Brook Lamprey Ammocoete,Brook Lamprey Adult,Yellow-legged Frog Larvae,Yellow-legged Frog Metamorph,Yellow-legged Frog Froglet,Yellow-legged Frog Adult,Red-legged Frog Larvae,Red-legged Frog Metamorph,Red-legged Frog Froglet,Red-legged Frog Adult,Sierran Treefrog Larvae,Sierran Treefrog Metamorph,Sierran Treefrog Froglet,Sierran Treefrog Adult,California Toad Larvae,California Toad Metamorph,California Toad Adult,Rana Tadpole Sp. Unknown,Rana Metamorph Sp. Unknown,Rana Adult Sp. Unknown,California Newt Larvae,California Newt Adult,California Floater Mussel (live),California Floater Mussel (shell),Pond Turtle,Garter Snake,Other,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,0c66be0e-e1ba-48f2-a0ba-9757da4b0fdb,,lower,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d2a78f52-490a-45f8-a70c-ec3534c76fe2,10/17/2018 6:53:00 PM,smcarlson_UCANR,10/17/2018 6:53:00 PM,smcarlson_UCANR,-122.2648165958,37.872894848593
2,4443d7ea-7ed6-4d16-a5ff-2c4ecb586264,,lower,1,9999,9.7,0.72,12,67.1,7.52,8.37,683,,4,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Bullfrog larvae >100,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.473130715227,37.1036792644949
3,724d87d9-ff62-4740-89b3-adaed199587a,,lower,1,50,7.7,2,11.3,53.6,5.85,8.4,768,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Bullfrog larvae <10,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.47307,37.103745
4,3e29b944-c937-43e9-9215-22ce1de6efb6,,lower,1,0.58,0.41,0.06,7.5,51,6,7.95,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.472615,37.1039166666667
5,af5cce03-3f05-4087-bb5a-999cdecace08,,lower,1,7.8,2.15,0.16,7.1,64.2,7.8,8.37,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.472623333333,37.1038983333333
6,9331e28e-511a-43e3-8dec-ca934ca2305d,,lower,1,9999,8.5,0.84,11.3,89.2,9.67,8.87,927,,3,3,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.472811666667,37.1046666666667
7,89d5ff56-8a92-4883-bd08-e8fdac4d3354,,lower,2,1.5,3.1,0.21,10.7,38.8,4.71,8.43,484.5,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477383333333,37.11288
8,263028b6-c251-4a25-ad31-92958686a623,,lower,2,1.5,1,0.21,10.4,26.1,2.34,8.36,430.7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.47739,37.1128183333333
9,90da356d-7678-4862-a92c-359eb2aa74c3,,lower,2,0.78,0.54,0.12,10.3,17.6,2.29,8.03,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477361666667,37.1128216666667
10,64fa6027-1586-4b7c-be00-b95705846dfd,,lower,2,2.7,1.25,0.29,10.8,30.6,3.06,8.09,494.7,,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477285,37.1128883333333
11,62497ca1-2356-4d18-b423-f9be94bccae3,,lower,2,0.97,0.61,0.15,11.3,21.8,2.73,7.85,488.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477213333333,37.1129266666667
12,ad399bc3-6829-4620-9b82-3b10527ce6c5,,lower,2,8.4,1.4,0.44,11.2,20.8,2.22,8.1,505,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.47728,37.11308
13,679c0fa4-8fd6-4556-b233-722e28158d0b,,lower,2,0.84,0.56,0.14,11.5,15.1,1.99,8.13,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477223333333,37.1130783333333
14,3b226c8a-5a68-458d-9d33-4a209f719e48,,lower,2,4.6,1.3,0.26,11.6,26.8,2.61,8.11,551,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.47716,37.1131516666667
15,e03c30a3-9b1d-4cd9-addd-170f47c242e9,,lower,2,9999,9.3,0.69,12.2,57.5,5.71,8.49,532,,2,4,,,,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,>100 bullfrog larvaea,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477283333333,37.113325
16,8b8623f1-b40d-4d84-a07a-46ce0f61a0bd,,lower,2,0.75,0.5,0.04,15.2,89.3,8.89,8.12,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477315,37.1137066666667
17,ecdd07c8-3bf8-4b18-b7d1-14ed67360295,,lower,2,4.65,1.35,0.16,17.4,92.4,8.88,8.49,674,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477351666667,37.1137483333333
18,fa61fad0-6a84-43b6-aee2-1749ebf17e6c,,lower,2,3.7,1,0.21,17.1,57.1,5.71,8.44,615,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477353333333,37.1137966666667
19,3c3ead88-c7d1-4960-bb55-3a7c077366db,,lower,2,20.1,3.8,0.24,17.7,73.1,7.17,8.46,689,,2,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,Only 1 RLF,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477396666667,37.1137983333333
20,1d8700e1-eece-4b37-a088-2e1d4ce9783a,,lower,2,2,0.51,0.05,19.5,22.5,2.01,8.49,879,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.47746,37.1137933333333
21,80b01e28-b171-4483-b3ef-7ed59b94edd0,,lower,2,5.6,1.8,0.1,14.5,68.7,6.77,8.29,604,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477516666667,37.1136983333333
22,083b08f7-c47a-4f16-8cce-d4f49b1b633c,,lower,2,6.55,2.3,0.16,17.6,65.6,6.04,8.44,633,,2,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477641666667,37.11399
23,9b37796d-8168-4f13-9936-e7cc51567d40,,lower,2,9999,8.5,0.95,16.4,77.5,7.34,8.69,624,,4,3,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477948333333,37.1143183333333
24,dbbd9670-2b61-421a-a62f-325f31677954,,lower,2,1.1,0.68,0.09,14.2,42.3,4.09,7.83,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.478018333333,37.11449
25,5995cde7-432e-49a0-acd6-6fca1ecb04db,,lower,2,1.3,3.3,0.16,12.1,43.6,4.47,8.23,592,,1,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.478648333333,37.1151533333333
26,531f452f-b1f4-49bd-970d-52ee0548c8a8,,lower,2,3.65,2,0.21,19.9,76.7,6.75,8.55,685,,2,2,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Dead metamorphosing lamprey,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.478771666667,37.1151283333333
27,1dfddbc4-7720-4680-87cd-d189648f603b,,lower,2,1.4,1.2,0.15,13.2,23,2.22,8.15,685,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.478713333333,37.115185
28,31dad761-709d-4c72-8ae0-be98ab4cae4f,,upper,4,0.8,2,0.14,8.4,33.9,3.71,7.79,457.7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483576666667,37.1327633333333
29,fb914d6c-fd73-4f35-b1c2-5992e5e25240,,upper,4,4.2,1.15,0.22,8.6,19.9,2.18,7.78,463.2,,2,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,<10 bullfrog larvae,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483518333333,37.1328266666667
30,4d5e8878-e140-48dc-a3e5-6f275c706028,,upper,4,1.3,2.8,0.31,8.4,23.9,2.58,7.93,520,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,>10 bullfrog larvae,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.4835,37.1329
31,5a9687ff-96f4-4984-a5db-684e6a65f872,,upper,4,9999,11.2,0.99,10.9,32,3.42,8.05,482.2,,3,3,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,>100 bullfrog larvae,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483483333333,37.1329966666667
32,f6907c36-9ba8-4556-8e3b-aa568ebe8319,,upper,4,1.49,0.31,0.04,9.4,32.2,3.2,7.99,269,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483596666667,37.1334983333333
33,5508d17e-d36b-45b0-b33f-db61c682f961,,upper,4,1.2,0.57,0.09,9.9,17,1.86,7.57,462.2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483766666667,37.1335066666667
34,c591c556-22aa-423a-b2c0-54c3885cb16c,,upper,4,1.8,1.35,0.19,9.7,13.7,1.4,7.72,455.4,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483831666667,37.1335483333333
35,793aebad-7f8c-4eab-9a0c-64c08dea8a93,,upper,4,2.4,2.15,0.15,8.5,29.5,3.29,7.88,429.9,,2,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.48382,37.133845
36,49fba082-97df-421a-bee9-667a7b30b203,,upper,4,0.36,0.36,0.04,6.5,26.1,2.46,7.85,409.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483775,37.1341133333333
37,d0e478fb-6a94-4f8c-917f-1dd36394d402,,upper,4,2.3,1.7,0.06,9,21.3,2.27,7.81,491.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.48393,37.1341716666667
38,4f32e418-3bf6-4c5d-8d12-d3c031dbc26e,,upper,4,0.81,0.54,0.07,11.6,34,3.56,7.81,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483858333333,37.13418
39,6cc3c268-eb7f-45f5-959b-257e97e0c390,,upper,4,2.74,2.04,0.7,10.7,36.6,3.85,7.86,451.1,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483863333333,37.1342
40,89632bc1-1e98-4a51-b6ac-e90c897a7006,,upper,4,1.3,0.43,0.04,9.9,41.3,4.37,7.89,448.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483936666667,37.1342916666667
41,349e7279-8e68-4dfa-9a68-036ef4200aca,,upper,4,2.8,1.8,0.32,10,32.2,3.42,7.31,442.7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483835,37.1342816666667
42,27ee5573-13bd-490c-84b6-b2d1d3abe26d,,upper,4,0.9,0.3,0.03,7.3,18.8,2,7.96,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483901666667,37.1343933333333
43,eeb9f4fe-5644-4262-9774-6dbb8e961796,,upper,4,1.8,1,0.27,9.4,31.9,3.27,7.85,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483863333333,37.1344583333333
44,9096b2b7-a6a0-4d1e-bf3d-6db17cf1b834,,upper,4,1.15,0.3,0.1,11.1,24.4,2.49,7.45,440.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.48394,37.1344633333333
45,4ef620cb-9769-4caa-ac83-209f7f256675,,upper,4,3.1,2.56,0.27,9.7,28.9,3.07,7.73,441.8,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483878333333,37.13445
46,1f4e2313-e4a4-4b08-9f8e-6a0a65e128ab,,upper,4,1,0.34,0.05,10.2,26.4,2.7,8.03,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483808333333,37.1344816666667
47,ce414f75-b4ae-4008-b355-76e872219654,,upper,4,0.7,0.49,0.06,10.3,41.4,4.37,7.88,447.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483778333333,37.1344483333333
48,dd17a895-689c-46e8-b3b7-8d7a5603cf7e,,upper,4,10.8,4.05,0.35,10.8,30.9,3.08,7.61,448.5,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.483813333333,37.13445
49,1f877912-4b57-4832-9d2f-695a4c2a94ee,,upper,4,9.5,3.5,0.7,9.7,42.4,4.66,8.26,522,,2,2,,1,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.48385,37.1352666666667
50,b25dc3b1-b953-4380-8153-7d387b35aafe,,upper,5,27.5,8.3,0.62,9.7,51.7,5.65,8.37,425.4,,3,3,,,,1,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.486495,37.14197
51,822cf13a-885a-4105-bcd5-08731aa74cc7,,upper,5,3.1,2.3,0.13,11.6,61.7,6.43,8.31,496,,1,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.48695,37.1429566666667
52,b0c98354-a77c-43e2-ae52-50b4fdd55086,,upper,5,3.1,1.9,0.24,10.4,41.2,4.37,8.09,662,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.486853333333,37.14289
53,0859f5c5-e6f2-421d-930a-dafb471c3de4,,upper,5,19.3,8.8,2,12.8,63.1,6.42,8.47,705,,3,3,,,1,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.487188333333,37.1434766666667
54,9de312f7-ca4a-4f88-b824-abf39e5003d6,,upper,5,1.1,0.8,0.03,14.1,18,1.84,8.37,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.488241666667,37.14403
55,44d5eab3-0851-4e9a-b49f-a806691fc376,,upper,5,4.6,2,0.21,12.9,34.3,3.48,8.26,1269,,2,1,1,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.488326666667,37.14407
56,ea76a334-7f36-411b-a604-2f2e1ea15514,,lower,3,5.7,1.6,0.17,20,117.1,10.52,8.25,727,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.48041,37.1220666666667
57,824e373c-27a8-42b8-903c-2b761ba18e1f,,lower,3,2.5,0.8,0.08,17.9,87,7.96,7.96,592,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.480353333333,37.1220033333333
58,88c85ddf-e8e0-4043-b498-f8120620d1f0,,lower,3,17.5,7.8,0.72,14.1,45.3,4.49,8.28,475.5,,2,2,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,abf1fc5c-2ac6-41a9-bc32-22d64c8303e0,10/23/2018 12:13:50 AM,smcarlson_UCANR,10/23/2018 12:13:50 AM,smcarlson_UCANR,-121.480776666667,37.1198983333333
